"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.36    ,  0.20  
MgO     ,  9.37    ,  0.25  
Al2O3   ,  7.38    ,  0.19  
SiO2    , 38.94    ,  0.54  
P2O5    ,  0.97    ,  0.07  
SO3     , 14.62    ,  0.30  
Cl      ,  1.82    ,  0.07  
K2O     ,  0.56    ,  0.04  
CaO     ,  4.61    ,  0.10  
TiO2    ,  0.85    ,  0.07  
Cr2O3   ,  0.18    ,  0.03  
MnO     ,  0.23    ,  0.03  
FeO     , 17.70    ,  0.20  
Ni      ,  0.0920  ,  0.0065
Zn      ,  0.0900  ,  0.0045
Br      ,  0.0715  ,  0.0025
